,Result
SpecificR,0.061284054086363504%
TotalR,0.5689772628306056%
TotalR/Year,9.917597287458758%
TradingDays,15 days
Periodlen/day,27 days
RiskfreeR,0.2548003730107098%
TotalFacR,0.5076932087442423%
CrosPs,0.472272669234175%
MaxDD,-1.5426282310313955 %
Volatility,0.5468119470445941 %
Vol/Year,8.645856022261473 %
SpecRVol/Y,1.5860326237162023%
